
Miss counter = 57008

[85]: tagMask: 281474974613504 , tag_offset: 209715200 , ppn: 0 , valid: true , ptIndex: 85 , countAccess: 0
[86]: tagMask: 281474976702464 , tag_offset: 211812352 , ppn: 0 , valid: true , ptIndex: 86 , countAccess: 0
[87]: tagMask: 281474976677888 , tag_offset: 211845120 , ppn: 0 , valid: true , ptIndex: 87 , countAccess: 0
[88]: tagMask: 281474974613504 , tag_offset: 213909504 , ppn: 0 , valid: true , ptIndex: 88 , countAccess: 0
[89]: tagMask: 281474976694272 , tag_offset: 216006656 , ppn: 0 , valid: true , ptIndex: 89 , countAccess: 0
[90]: tagMask: 281474972516352 , tag_offset: 218103808 , ppn: 0 , valid: true , ptIndex: 90 , countAccess: 107153
[91]: tagMask: 281474976645120 , tag_offset: 222298112 , ppn: 0 , valid: true , ptIndex: 91 , countAccess: 0
[92]: tagMask: 281474974613504 , tag_offset: 224395264 , ppn: 0 , valid: true , ptIndex: 92 , countAccess: 0
[93]: tagMask: 281474976702464 , tag_offset: 226492416 , ppn: 0 , valid: true , ptIndex: 93 , countAccess: 0
[94]: tagMask: 281474976677888 , tag_offset: 226525184 , ppn: 0 , valid: true , ptIndex: 94 , countAccess: 0
[95]: tagMask: 281474976702464 , tag_offset: 226557952 , ppn: 0 , valid: true , ptIndex: 95 , countAccess: 0
[96]: tagMask: 281474974613504 , tag_offset: 228589568 , ppn: 0 , valid: true , ptIndex: 96 , countAccess: 0
[97]: tagMask: 281474976702464 , tag_offset: 230686720 , ppn: 0 , valid: true , ptIndex: 97 , countAccess: 0
[98]: tagMask: 281474976677888 , tag_offset: 230719488 , ppn: 0 , valid: true , ptIndex: 98 , countAccess: 0
[99]: tagMask: 281474974613504 , tag_offset: 232783872 , ppn: 0 , valid: true , ptIndex: 99 , countAccess: 0
[100]: tagMask: 281474976702464 , tag_offset: 234881024 , ppn: 0 , valid: true , ptIndex: 100 , countAccess: 0
[101]: tagMask: 281474976579584 , tag_offset: 235012096 , ppn: 0 , valid: true , ptIndex: 101 , countAccess: 0
[102]: tagMask: 281474974613504 , tag_offset: 236978176 , ppn: 0 , valid: true , ptIndex: 102 , countAccess: 0
[103]: tagMask: 281474976702464 , tag_offset: 239075328 , ppn: 0 , valid: true , ptIndex: 103 , countAccess: 0
[104]: tagMask: 281474974613504 , tag_offset: 241172480 , ppn: 0 , valid: true , ptIndex: 104 , countAccess: 26256
[105]: tagMask: 281474976706560 , tag_offset: 243269632 , ppn: 0 , valid: true , ptIndex: 105 , countAccess: 0
[106]: tagMask: 281474974613504 , tag_offset: 245366784 , ppn: 0 , valid: true , ptIndex: 106 , countAccess: 0
[107]: tagMask: 281474976702464 , tag_offset: 247463936 , ppn: 0 , valid: true , ptIndex: 107 , countAccess: 0
[108]: tagMask: 281474968322048 , tag_offset: 251658240 , ppn: 0 , valid: true , ptIndex: 108 , countAccess: 190830
[109]: tagMask: 281474968322048 , tag_offset: 260046848 , ppn: 0 , valid: true , ptIndex: 109 , countAccess: 220117
