
Miss counter = 26513962

[107]: tagMask: ffffffe00000 , tag_offset: ea00000 , ppn: 0 , valid: true , ptIndex: 107 , countAccess: 0
[108]: tagMask: ffffffffe000 , tag_offset: ec00000 , ppn: 0 , valid: true , ptIndex: 108 , countAccess: 2
[109]: tagMask: ffffff800000 , tag_offset: f000000 , ppn: 0 , valid: true , ptIndex: 109 , countAccess: 43776990
[110]: tagMask: ffffff800000 , tag_offset: f800000 , ppn: 0 , valid: true , ptIndex: 110 , countAccess: 65949610
[111]: tagMask: ffffff000000 , tag_offset: 10000000 , ppn: 0 , valid: true , ptIndex: 111 , countAccess: 3386
[112]: tagMask: ffffff800000 , tag_offset: 11000000 , ppn: 0 , valid: true , ptIndex: 112 , countAccess: 0
[113]: tagMask: ffffffe00000 , tag_offset: 58000000 , ppn: 0 , valid: true , ptIndex: 113 , countAccess: 0
[114]: tagMask: ffffffffc000 , tag_offset: 583f4000 , ppn: 0 , valid: true , ptIndex: 114 , countAccess: 0
[115]: tagMask: ffffff000000 , tag_offset: 59000000 , ppn: 0 , valid: true , ptIndex: 115 , countAccess: 0
[116]: tagMask: ffffff800000 , tag_offset: 1002800000 , ppn: 0 , valid: true , ptIndex: 116 , countAccess: 0
[117]: tagMask: fffffff00000 , tag_offset: 1003000000 , ppn: 0 , valid: true , ptIndex: 117 , countAccess: 0
[118]: tagMask: ffffffc00000 , tag_offset: 1003400000 , ppn: 0 , valid: true , ptIndex: 118 , countAccess: 0
[119]: tagMask: ffffffffe000 , tag_offset: 1003800000 , ppn: 0 , valid: true , ptIndex: 119 , countAccess: 0
[120]: tagMask: fffffff00000 , tag_offset: 1003900000 , ppn: 0 , valid: true , ptIndex: 120 , countAccess: 0
[121]: tagMask: ffffffffe000 , tag_offset: 1003a00000 , ppn: 0 , valid: true , ptIndex: 121 , countAccess: 0
[122]: tagMask: fffffffff000 , tag_offset: 1003a02000 , ppn: 0 , valid: true , ptIndex: 122 , countAccess: 0
[123]: tagMask: fffffe000000 , tag_offset: 1004000000 , ppn: 0 , valid: true , ptIndex: 123 , countAccess: 0
[124]: tagMask: ffffffe00000 , tag_offset: 1006000000 , ppn: 0 , valid: true , ptIndex: 124 , countAccess: 0
[125]: tagMask: fffffff80000 , tag_offset: 1006200000 , ppn: 0 , valid: true , ptIndex: 125 , countAccess: 0
[126]: tagMask: ffffff800000 , tag_offset: 1006800000 , ppn: 0 , valid: true , ptIndex: 126 , countAccess: 0
[127]: tagMask: fffff8000000 , tag_offset: 1008000000 , ppn: 0 , valid: true , ptIndex: 127 , countAccess: 0
[128]: tagMask: fffffffe0000 , tag_offset: 1fff000000 , ppn: 0 , valid: true , ptIndex: 128 , countAccess: 378006275
[129]: tagMask: fffffffc0000 , tag_offset: 7ffca2380000 , ppn: 0 , valid: true , ptIndex: 129 , countAccess: 0
[130]: tagMask: ffffffffe000 , tag_offset: 7ffca23ec000 , ppn: 0 , valid: true , ptIndex: 130 , countAccess: 0
