
Miss counter = 109492019

[84]: tagMask: ffffffe00000 , tag_offset: 7e00000 , ppn: 0 , valid: true , ptIndex: 84 , countAccess: 0
[85]: tagMask: ffffffffe000 , tag_offset: 8000000 , ppn: 0 , valid: true , ptIndex: 85 , countAccess: 293978
[86]: tagMask: ffffffffc000 , tag_offset: 8004000 , ppn: 0 , valid: true , ptIndex: 86 , countAccess: 741418
[87]: tagMask: ffffffe00000 , tag_offset: 8200000 , ppn: 0 , valid: true , ptIndex: 87 , countAccess: 0
[88]: tagMask: ffffffffe000 , tag_offset: 8400000 , ppn: 0 , valid: true , ptIndex: 88 , countAccess: 53818
[89]: tagMask: ffffffff0000 , tag_offset: 8410000 , ppn: 0 , valid: true , ptIndex: 89 , countAccess: 29727
[90]: tagMask: ffffffe00000 , tag_offset: 8600000 , ppn: 0 , valid: true , ptIndex: 90 , countAccess: 0
[91]: tagMask: ffffffffe000 , tag_offset: 8800000 , ppn: 0 , valid: true , ptIndex: 91 , countAccess: 39468
[92]: tagMask: fffffff80000 , tag_offset: 8880000 , ppn: 0 , valid: true , ptIndex: 92 , countAccess: 0
[93]: tagMask: fffffffc0000 , tag_offset: 8900000 , ppn: 0 , valid: true , ptIndex: 93 , countAccess: 2035469
[94]: tagMask: ffffffe00000 , tag_offset: 8a00000 , ppn: 0 , valid: true , ptIndex: 94 , countAccess: 0
[95]: tagMask: ffffffff8000 , tag_offset: 8c00000 , ppn: 0 , valid: true , ptIndex: 95 , countAccess: 92219
[96]: tagMask: fffffff00000 , tag_offset: 8d00000 , ppn: 0 , valid: true , ptIndex: 96 , countAccess: 1012751
[97]: tagMask: ffffffe00000 , tag_offset: 8e00000 , ppn: 0 , valid: true , ptIndex: 97 , countAccess: 0
[98]: tagMask: ffffffff8000 , tag_offset: 9000000 , ppn: 0 , valid: true , ptIndex: 98 , countAccess: 82628
[99]: tagMask: fffffffff000 , tag_offset: 9008000 , ppn: 0 , valid: true , ptIndex: 99 , countAccess: 85
[100]: tagMask: fffffffc0000 , tag_offset: 9040000 , ppn: 0 , valid: true , ptIndex: 100 , countAccess: 57111
[101]: tagMask: ffffffe00000 , tag_offset: 9200000 , ppn: 0 , valid: true , ptIndex: 101 , countAccess: 0
[102]: tagMask: ffffffffc000 , tag_offset: 9400000 , ppn: 0 , valid: true , ptIndex: 102 , countAccess: 36507
[103]: tagMask: fffffff00000 , tag_offset: 9500000 , ppn: 0 , valid: true , ptIndex: 103 , countAccess: 5870283
[104]: tagMask: ffffffe00000 , tag_offset: 9600000 , ppn: 0 , valid: true , ptIndex: 104 , countAccess: 0
[105]: tagMask: ffffffff8000 , tag_offset: 9800000 , ppn: 0 , valid: true , ptIndex: 105 , countAccess: 325697
[106]: tagMask: fffffffff000 , tag_offset: 9808000 , ppn: 0 , valid: true , ptIndex: 106 , countAccess: 217
[107]: tagMask: fffffff80000 , tag_offset: 9880000 , ppn: 0 , valid: true , ptIndex: 107 , countAccess: 634348
[108]: tagMask: ffffffe00000 , tag_offset: 9a00000 , ppn: 0 , valid: true , ptIndex: 108 , countAccess: 0
[109]: tagMask: ffffffff8000 , tag_offset: 9c00000 , ppn: 0 , valid: true , ptIndex: 109 , countAccess: 53341
[110]: tagMask: fffffffff000 , tag_offset: 9c08000 , ppn: 0 , valid: true , ptIndex: 110 , countAccess: 22654
[111]: tagMask: ffffffe00000 , tag_offset: 9e00000 , ppn: 0 , valid: true , ptIndex: 111 , countAccess: 0
[112]: tagMask: ffffffffe000 , tag_offset: a000000 , ppn: 0 , valid: true , ptIndex: 112 , countAccess: 34964
[113]: tagMask: ffffff800000 , tag_offset: a800000 , ppn: 0 , valid: true , ptIndex: 113 , countAccess: 41430522
[114]: tagMask: ffffffe00000 , tag_offset: b000000 , ppn: 0 , valid: true , ptIndex: 114 , countAccess: 0
[115]: tagMask: ffffffff0000 , tag_offset: b200000 , ppn: 0 , valid: true , ptIndex: 115 , countAccess: 2183272
[116]: tagMask: ffffffff8000 , tag_offset: b210000 , ppn: 0 , valid: true , ptIndex: 116 , countAccess: 90793
[117]: tagMask: fffffff00000 , tag_offset: b300000 , ppn: 0 , valid: true , ptIndex: 117 , countAccess: 3668009
[118]: tagMask: ffffffe00000 , tag_offset: b400000 , ppn: 0 , valid: true , ptIndex: 118 , countAccess: 0
[119]: tagMask: ffffffff8000 , tag_offset: b600000 , ppn: 0 , valid: true , ptIndex: 119 , countAccess: 161936
[120]: tagMask: ffffffffc000 , tag_offset: b608000 , ppn: 0 , valid: true , ptIndex: 120 , countAccess: 28956
[121]: tagMask: ffffffe00000 , tag_offset: b800000 , ppn: 0 , valid: true , ptIndex: 121 , countAccess: 0
[122]: tagMask: ffffffffe000 , tag_offset: ba00000 , ppn: 0 , valid: true , ptIndex: 122 , countAccess: 36010
[123]: tagMask: ffffffff0000 , tag_offset: ba10000 , ppn: 0 , valid: true , ptIndex: 123 , countAccess: 61970
[124]: tagMask: ffffffe00000 , tag_offset: bc00000 , ppn: 0 , valid: true , ptIndex: 124 , countAccess: 0
[125]: tagMask: ffffffffe000 , tag_offset: be00000 , ppn: 0 , valid: true , ptIndex: 125 , countAccess: 36974
[126]: tagMask: ffffffe00000 , tag_offset: c000000 , ppn: 0 , valid: true , ptIndex: 126 , countAccess: 6561892
[127]: tagMask: ffffffe00000 , tag_offset: c200000 , ppn: 0 , valid: true , ptIndex: 127 , countAccess: 0
[128]: tagMask: ffffffff8000 , tag_offset: c400000 , ppn: 0 , valid: true , ptIndex: 128 , countAccess: 134779
[129]: tagMask: ffffffff0000 , tag_offset: c410000 , ppn: 0 , valid: true , ptIndex: 129 , countAccess: 25425
[130]: tagMask: ffffffe00000 , tag_offset: c600000 , ppn: 0 , valid: true , ptIndex: 130 , countAccess: 0
[131]: tagMask: ffffffffe000 , tag_offset: c800000 , ppn: 0 , valid: true , ptIndex: 131 , countAccess: 33975
[132]: tagMask: ffffffff8000 , tag_offset: c808000 , ppn: 0 , valid: true , ptIndex: 132 , countAccess: 24056
[133]: tagMask: ffffffe00000 , tag_offset: ca00000 , ppn: 0 , valid: true , ptIndex: 133 , countAccess: 0
[134]: tagMask: ffffffffe000 , tag_offset: cc00000 , ppn: 0 , valid: true , ptIndex: 134 , countAccess: 34518
