
Miss counter = 36190489

[82]: tagMask: ffffff800000 , tag_offset: 33800000 , ppn: 0 , valid: true , ptIndex: 82 , countAccess: 109512
[83]: tagMask: fffffffff000 , tag_offset: 34000000 , ppn: 0 , valid: true , ptIndex: 83 , countAccess: 0
[84]: tagMask: ffffff800000 , tag_offset: 34800000 , ppn: 0 , valid: true , ptIndex: 84 , countAccess: 110396
[85]: tagMask: fffffffff000 , tag_offset: 35000000 , ppn: 0 , valid: true , ptIndex: 85 , countAccess: 0
[86]: tagMask: ffffff800000 , tag_offset: 35800000 , ppn: 0 , valid: true , ptIndex: 86 , countAccess: 109928
[87]: tagMask: fffffffff000 , tag_offset: 36000000 , ppn: 0 , valid: true , ptIndex: 87 , countAccess: 0
[88]: tagMask: ffffff800000 , tag_offset: 36800000 , ppn: 0 , valid: true , ptIndex: 88 , countAccess: 127679
[89]: tagMask: fffffffff000 , tag_offset: 37000000 , ppn: 0 , valid: true , ptIndex: 89 , countAccess: 0
[90]: tagMask: ffffff800000 , tag_offset: 37800000 , ppn: 0 , valid: true , ptIndex: 90 , countAccess: 110123
[91]: tagMask: fffffffff000 , tag_offset: 38000000 , ppn: 0 , valid: true , ptIndex: 91 , countAccess: 0
[92]: tagMask: ffffff800000 , tag_offset: 38800000 , ppn: 0 , valid: true , ptIndex: 92 , countAccess: 108264
[93]: tagMask: fffffffff000 , tag_offset: 39000000 , ppn: 0 , valid: true , ptIndex: 93 , countAccess: 0
[94]: tagMask: ffffff800000 , tag_offset: 39800000 , ppn: 0 , valid: true , ptIndex: 94 , countAccess: 109616
[95]: tagMask: fffffffff000 , tag_offset: 3a000000 , ppn: 0 , valid: true , ptIndex: 95 , countAccess: 0
[96]: tagMask: fffffe000000 , tag_offset: 3c000000 , ppn: 0 , valid: true , ptIndex: 96 , countAccess: 18195739
[97]: tagMask: fffffffff000 , tag_offset: 3e000000 , ppn: 0 , valid: true , ptIndex: 97 , countAccess: 0
[98]: tagMask: fffffffc0000 , tag_offset: 3e040000 , ppn: 0 , valid: true , ptIndex: 98 , countAccess: 705
[99]: tagMask: fffffffff000 , tag_offset: 3e080000 , ppn: 0 , valid: true , ptIndex: 99 , countAccess: 0
[100]: tagMask: fffffffc0000 , tag_offset: 3e0c0000 , ppn: 0 , valid: true , ptIndex: 100 , countAccess: 302158540
[101]: tagMask: fffffffff000 , tag_offset: 3e100000 , ppn: 0 , valid: true , ptIndex: 101 , countAccess: 0
[102]: tagMask: fffffffc0000 , tag_offset: 3e140000 , ppn: 0 , valid: true , ptIndex: 102 , countAccess: 293544671
[103]: tagMask: fffffffff000 , tag_offset: 3e180000 , ppn: 0 , valid: true , ptIndex: 103 , countAccess: 0
[104]: tagMask: fffffffc0000 , tag_offset: 3e1c0000 , ppn: 0 , valid: true , ptIndex: 104 , countAccess: 290493372
[105]: tagMask: fffffffff000 , tag_offset: 3e200000 , ppn: 0 , valid: true , ptIndex: 105 , countAccess: 0
[106]: tagMask: fffffffc0000 , tag_offset: 3e240000 , ppn: 0 , valid: true , ptIndex: 106 , countAccess: 301587065
[107]: tagMask: fffffffff000 , tag_offset: 3e280000 , ppn: 0 , valid: true , ptIndex: 107 , countAccess: 0
[108]: tagMask: fffffffc0000 , tag_offset: 3e2c0000 , ppn: 0 , valid: true , ptIndex: 108 , countAccess: 296490413
[109]: tagMask: fffffffff000 , tag_offset: 3e300000 , ppn: 0 , valid: true , ptIndex: 109 , countAccess: 0
[110]: tagMask: fffffffc0000 , tag_offset: 3e340000 , ppn: 0 , valid: true , ptIndex: 110 , countAccess: 296264430
[111]: tagMask: fffffffff000 , tag_offset: 3e380000 , ppn: 0 , valid: true , ptIndex: 111 , countAccess: 0
[112]: tagMask: fffffffc0000 , tag_offset: 3e3c0000 , ppn: 0 , valid: true , ptIndex: 112 , countAccess: 296797248
[113]: tagMask: fffffffff000 , tag_offset: 3e400000 , ppn: 0 , valid: true , ptIndex: 113 , countAccess: 0
[114]: tagMask: fffffffc0000 , tag_offset: 3e440000 , ppn: 0 , valid: true , ptIndex: 114 , countAccess: 295004406
[115]: tagMask: fffffffc0000 , tag_offset: 3e480000 , ppn: 0 , valid: true , ptIndex: 115 , countAccess: 151856
[116]: tagMask: fffffc000000 , tag_offset: 40000000 , ppn: 0 , valid: true , ptIndex: 116 , countAccess: 0
[117]: tagMask: fffffffff000 , tag_offset: 44000000 , ppn: 0 , valid: true , ptIndex: 117 , countAccess: 0
[118]: tagMask: ffffff800000 , tag_offset: 44800000 , ppn: 0 , valid: true , ptIndex: 118 , countAccess: 906831
[119]: tagMask: fffffffff000 , tag_offset: 45000000 , ppn: 0 , valid: true , ptIndex: 119 , countAccess: 0
[120]: tagMask: ffffff800000 , tag_offset: 45800000 , ppn: 0 , valid: true , ptIndex: 120 , countAccess: 1489282
[121]: tagMask: fffffffff000 , tag_offset: 46000000 , ppn: 0 , valid: true , ptIndex: 121 , countAccess: 0
[122]: tagMask: ffffff800000 , tag_offset: 46800000 , ppn: 0 , valid: true , ptIndex: 122 , countAccess: 242792
[123]: tagMask: fffffffff000 , tag_offset: 47000000 , ppn: 0 , valid: true , ptIndex: 123 , countAccess: 0
[124]: tagMask: ffffff800000 , tag_offset: 47800000 , ppn: 0 , valid: true , ptIndex: 124 , countAccess: 4265155
[125]: tagMask: fffffffff000 , tag_offset: 48000000 , ppn: 0 , valid: true , ptIndex: 125 , countAccess: 0
[126]: tagMask: ffffff800000 , tag_offset: 48800000 , ppn: 0 , valid: true , ptIndex: 126 , countAccess: 5648
[127]: tagMask: fffffffff000 , tag_offset: 49000000 , ppn: 0 , valid: true , ptIndex: 127 , countAccess: 0
[128]: tagMask: ffffff800000 , tag_offset: 49800000 , ppn: 0 , valid: true , ptIndex: 128 , countAccess: 5219
[129]: tagMask: fffffffff000 , tag_offset: 4a000000 , ppn: 0 , valid: true , ptIndex: 129 , countAccess: 0
[130]: tagMask: ffffff800000 , tag_offset: 4a800000 , ppn: 0 , valid: true , ptIndex: 130 , countAccess: 5220
[131]: tagMask: fffffffc0000 , tag_offset: 4b000000 , ppn: 0 , valid: true , ptIndex: 131 , countAccess: 4104
[132]: tagMask: fffffc000000 , tag_offset: 4c000000 , ppn: 0 , valid: true , ptIndex: 132 , countAccess: 0
[133]: tagMask: fffffffc0000 , tag_offset: 50000000 , ppn: 0 , valid: true , ptIndex: 133 , countAccess: 4054
[134]: tagMask: fffffc000000 , tag_offset: 54000000 , ppn: 0 , valid: true , ptIndex: 134 , countAccess: 0
[135]: tagMask: fffffffc0000 , tag_offset: 58000000 , ppn: 0 , valid: true , ptIndex: 135 , countAccess: 4054
[136]: tagMask: fffffc000000 , tag_offset: 5c000000 , ppn: 0 , valid: true , ptIndex: 136 , countAccess: 0
[137]: tagMask: fffffffff000 , tag_offset: 60000000 , ppn: 0 , valid: true , ptIndex: 137 , countAccess: 0
[138]: tagMask: ffffff800000 , tag_offset: 60800000 , ppn: 0 , valid: true , ptIndex: 138 , countAccess: 5223
[139]: tagMask: fffffffff000 , tag_offset: 61000000 , ppn: 0 , valid: true , ptIndex: 139 , countAccess: 0
[140]: tagMask: ffffff800000 , tag_offset: 61800000 , ppn: 0 , valid: true , ptIndex: 140 , countAccess: 3673615
[141]: tagMask: fffffffff000 , tag_offset: 62000000 , ppn: 0 , valid: true , ptIndex: 141 , countAccess: 0
[142]: tagMask: ffffff800000 , tag_offset: 62800000 , ppn: 0 , valid: true , ptIndex: 142 , countAccess: 123724
[143]: tagMask: fffffffff000 , tag_offset: 63000000 , ppn: 0 , valid: true , ptIndex: 143 , countAccess: 0
[144]: tagMask: ffffff800000 , tag_offset: 63800000 , ppn: 0 , valid: true , ptIndex: 144 , countAccess: 287547
[145]: tagMask: fffffffff000 , tag_offset: 64000000 , ppn: 0 , valid: true , ptIndex: 145 , countAccess: 0
[146]: tagMask: ffffff800000 , tag_offset: 64800000 , ppn: 0 , valid: true , ptIndex: 146 , countAccess: 141
[147]: tagMask: fffffffff000 , tag_offset: 65000000 , ppn: 0 , valid: true , ptIndex: 147 , countAccess: 12
[148]: tagMask: ffffff800000 , tag_offset: 65800000 , ppn: 0 , valid: true , ptIndex: 148 , countAccess: 773
[149]: tagMask: fffffffff000 , tag_offset: 66000000 , ppn: 0 , valid: true , ptIndex: 149 , countAccess: 0
[150]: tagMask: ffffff800000 , tag_offset: 66800000 , ppn: 0 , valid: true , ptIndex: 150 , countAccess: 2625627
[151]: tagMask: fffffffc0000 , tag_offset: 67000000 , ppn: 0 , valid: true , ptIndex: 151 , countAccess: 4054
[152]: tagMask: fffffc000000 , tag_offset: 68000000 , ppn: 0 , valid: true , ptIndex: 152 , countAccess: 0
[153]: tagMask: fffffffc0000 , tag_offset: 6c000000 , ppn: 0 , valid: true , ptIndex: 153 , countAccess: 1945
[154]: tagMask: fffffc000000 , tag_offset: 70000000 , ppn: 0 , valid: true , ptIndex: 154 , countAccess: 0
[155]: tagMask: fffffffc0000 , tag_offset: 74000000 , ppn: 0 , valid: true , ptIndex: 155 , countAccess: 305781
[156]: tagMask: fffffc000000 , tag_offset: 78000000 , ppn: 0 , valid: true , ptIndex: 156 , countAccess: 0
[157]: tagMask: fffffffc0000 , tag_offset: 7c000000 , ppn: 0 , valid: true , ptIndex: 157 , countAccess: 302
[158]: tagMask: fffffc000000 , tag_offset: 80000000 , ppn: 0 , valid: true , ptIndex: 158 , countAccess: 0
[159]: tagMask: fffffffc0000 , tag_offset: 84000000 , ppn: 0 , valid: true , ptIndex: 159 , countAccess: 167610
[160]: tagMask: fffffc000000 , tag_offset: 88000000 , ppn: 0 , valid: true , ptIndex: 160 , countAccess: 0
[161]: tagMask: ffffff000000 , tag_offset: 8c000000 , ppn: 0 , valid: true , ptIndex: 161 , countAccess: 326692772
[162]: tagMask: fffffc000000 , tag_offset: 90000000 , ppn: 0 , valid: true , ptIndex: 162 , countAccess: 0
[163]: tagMask: fffffffc0000 , tag_offset: 94000000 , ppn: 0 , valid: true , ptIndex: 163 , countAccess: 144352481
[164]: tagMask: fffffc000000 , tag_offset: 98000000 , ppn: 0 , valid: true , ptIndex: 164 , countAccess: 30041745
[165]: tagMask: ffffffe00000 , tag_offset: 9c000000 , ppn: 0 , valid: true , ptIndex: 165 , countAccess: 0
[166]: tagMask: ffffffffc000 , tag_offset: 9c200000 , ppn: 0 , valid: true , ptIndex: 166 , countAccess: 0
[167]: tagMask: ffffff000000 , tag_offset: 9d000000 , ppn: 0 , valid: true , ptIndex: 167 , countAccess: 0
[168]: tagMask: fffffffc0000 , tag_offset: 9e000000 , ppn: 0 , valid: true , ptIndex: 168 , countAccess: 139355515
[169]: tagMask: fffffc000000 , tag_offset: a0000000 , ppn: 0 , valid: true , ptIndex: 169 , countAccess: 28322293
[170]: tagMask: fffffffc0000 , tag_offset: a4000000 , ppn: 0 , valid: true , ptIndex: 170 , countAccess: 144564448
[171]: tagMask: fffffc000000 , tag_offset: a8000000 , ppn: 0 , valid: true , ptIndex: 171 , countAccess: 29416735
[172]: tagMask: fffffffc0000 , tag_offset: ac000000 , ppn: 0 , valid: true , ptIndex: 172 , countAccess: 142258320
[173]: tagMask: fffffc000000 , tag_offset: b0000000 , ppn: 0 , valid: true , ptIndex: 173 , countAccess: 28871704
[174]: tagMask: fffffffc0000 , tag_offset: b4000000 , ppn: 0 , valid: true , ptIndex: 174 , countAccess: 141978477
[175]: tagMask: fffffc000000 , tag_offset: b8000000 , ppn: 0 , valid: true , ptIndex: 175 , countAccess: 28825014
[176]: tagMask: fffffffc0000 , tag_offset: bc000000 , ppn: 0 , valid: true , ptIndex: 176 , countAccess: 142318478
[177]: tagMask: fffffc000000 , tag_offset: c0000000 , ppn: 0 , valid: true , ptIndex: 177 , countAccess: 28952557
[178]: tagMask: fffffffc0000 , tag_offset: c4000000 , ppn: 0 , valid: true , ptIndex: 178 , countAccess: 146224909
[179]: tagMask: fffffc000000 , tag_offset: c8000000 , ppn: 0 , valid: true , ptIndex: 179 , countAccess: 24065037
[180]: tagMask: ffffff800000 , tag_offset: 1002800000 , ppn: 0 , valid: true , ptIndex: 180 , countAccess: 0
[181]: tagMask: fffffffff000 , tag_offset: 1003000000 , ppn: 0 , valid: true , ptIndex: 181 , countAccess: 0
[182]: tagMask: fffffff80000 , tag_offset: 1003080000 , ppn: 0 , valid: true , ptIndex: 182 , countAccess: 0
[183]: tagMask: fffffff80000 , tag_offset: 1003100000 , ppn: 0 , valid: true , ptIndex: 183 , countAccess: 0
[184]: tagMask: ffffff000000 , tag_offset: 1004000000 , ppn: 0 , valid: true , ptIndex: 184 , countAccess: 0
[185]: tagMask: ffffffffe000 , tag_offset: 1005000000 , ppn: 0 , valid: true , ptIndex: 185 , countAccess: 0
[186]: tagMask: fffffff00000 , tag_offset: 1005100000 , ppn: 0 , valid: true , ptIndex: 186 , countAccess: 0
[187]: tagMask: ffffffffe000 , tag_offset: 1005200000 , ppn: 0 , valid: true , ptIndex: 187 , countAccess: 0
[188]: tagMask: ffffff000000 , tag_offset: 1006000000 , ppn: 0 , valid: true , ptIndex: 188 , countAccess: 0
[189]: tagMask: fffffff80000 , tag_offset: 1007000000 , ppn: 0 , valid: true , ptIndex: 189 , countAccess: 0
[190]: tagMask: fffffffc0000 , tag_offset: 1007080000 , ppn: 0 , valid: true , ptIndex: 190 , countAccess: 0
[191]: tagMask: ffffffc00000 , tag_offset: 1007400000 , ppn: 0 , valid: true , ptIndex: 191 , countAccess: 0
[192]: tagMask: ffffffffe000 , tag_offset: 1007800000 , ppn: 0 , valid: true , ptIndex: 192 , countAccess: 0
[193]: tagMask: fffffff00000 , tag_offset: 1007900000 , ppn: 0 , valid: true , ptIndex: 193 , countAccess: 0
[194]: tagMask: ffffffffe000 , tag_offset: 1007a00000 , ppn: 0 , valid: true , ptIndex: 194 , countAccess: 0
[195]: tagMask: fffffffe0000 , tag_offset: 1007a20000 , ppn: 0 , valid: true , ptIndex: 195 , countAccess: 0
[196]: tagMask: fffffffc0000 , tag_offset: 1007a40000 , ppn: 0 , valid: true , ptIndex: 196 , countAccess: 0
[197]: tagMask: ffffffc00000 , tag_offset: 1007c00000 , ppn: 0 , valid: true , ptIndex: 197 , countAccess: 0
[198]: tagMask: ffffffc00000 , tag_offset: 1008000000 , ppn: 0 , valid: true , ptIndex: 198 , countAccess: 0
[199]: tagMask: ffffff000000 , tag_offset: 1009000000 , ppn: 0 , valid: true , ptIndex: 199 , countAccess: 0
[200]: tagMask: ffffffffe000 , tag_offset: 100a000000 , ppn: 0 , valid: true , ptIndex: 200 , countAccess: 0
[201]: tagMask: fffffff00000 , tag_offset: 100a100000 , ppn: 0 , valid: true , ptIndex: 201 , countAccess: 0
[202]: tagMask: ffffffffc000 , tag_offset: 100a200000 , ppn: 0 , valid: true , ptIndex: 202 , countAccess: 0
[203]: tagMask: fffffff00000 , tag_offset: 100a300000 , ppn: 0 , valid: true , ptIndex: 203 , countAccess: 0
[204]: tagMask: ffffffffc000 , tag_offset: 100a400000 , ppn: 0 , valid: true , ptIndex: 204 , countAccess: 0
[205]: tagMask: fffffff00000 , tag_offset: 100a500000 , ppn: 0 , valid: true , ptIndex: 205 , countAccess: 0
[206]: tagMask: ffffffffc000 , tag_offset: 100a600000 , ppn: 0 , valid: true , ptIndex: 206 , countAccess: 0
[207]: tagMask: fffffff00000 , tag_offset: 100a700000 , ppn: 0 , valid: true , ptIndex: 207 , countAccess: 0
[208]: tagMask: ffffffffc000 , tag_offset: 100a800000 , ppn: 0 , valid: true , ptIndex: 208 , countAccess: 0
