
Miss counter = 93848384

[81]: tagMask: ffffffe00000 , tag_offset: 11000000 , ppn: 0 , valid: true , ptIndex: 81 , countAccess: 0
[82]: tagMask: ffffffff0000 , tag_offset: 11200000 , ppn: 0 , valid: true , ptIndex: 82 , countAccess: 67329
[83]: tagMask: fffffffe0000 , tag_offset: 11220000 , ppn: 0 , valid: true , ptIndex: 83 , countAccess: 40482955
[84]: tagMask: ffffffe00000 , tag_offset: 11400000 , ppn: 0 , valid: true , ptIndex: 84 , countAccess: 0
[85]: tagMask: ffffffffe000 , tag_offset: 11600000 , ppn: 0 , valid: true , ptIndex: 85 , countAccess: 78907
[86]: tagMask: fffffff80000 , tag_offset: 11680000 , ppn: 0 , valid: true , ptIndex: 86 , countAccess: 178210
[87]: tagMask: ffffffe00000 , tag_offset: 11800000 , ppn: 0 , valid: true , ptIndex: 87 , countAccess: 0
[88]: tagMask: ffffffffc000 , tag_offset: 11a00000 , ppn: 0 , valid: true , ptIndex: 88 , countAccess: 55382
[89]: tagMask: fffffff80000 , tag_offset: 11a80000 , ppn: 0 , valid: true , ptIndex: 89 , countAccess: 44357
[90]: tagMask: ffffffe00000 , tag_offset: 11c00000 , ppn: 0 , valid: true , ptIndex: 90 , countAccess: 0
[91]: tagMask: ffffffffe000 , tag_offset: 11e00000 , ppn: 0 , valid: true , ptIndex: 91 , countAccess: 54467
[92]: tagMask: ffffffe00000 , tag_offset: 12000000 , ppn: 0 , valid: true , ptIndex: 92 , countAccess: 89872
[93]: tagMask: ffffffe00000 , tag_offset: 12200000 , ppn: 0 , valid: true , ptIndex: 93 , countAccess: 0
[94]: tagMask: ffffffff8000 , tag_offset: 12400000 , ppn: 0 , valid: true , ptIndex: 94 , countAccess: 55421
[95]: tagMask: fffffffff000 , tag_offset: 12408000 , ppn: 0 , valid: true , ptIndex: 95 , countAccess: 0
[96]: tagMask: fffffffc0000 , tag_offset: 12440000 , ppn: 0 , valid: true , ptIndex: 96 , countAccess: 86374
[97]: tagMask: ffffffe00000 , tag_offset: 12600000 , ppn: 0 , valid: true , ptIndex: 97 , countAccess: 0
[98]: tagMask: ffffffffc000 , tag_offset: 12800000 , ppn: 0 , valid: true , ptIndex: 98 , countAccess: 54543
[99]: tagMask: ffffffffc000 , tag_offset: 12804000 , ppn: 0 , valid: true , ptIndex: 99 , countAccess: 49073
[100]: tagMask: ffffffe00000 , tag_offset: 12a00000 , ppn: 0 , valid: true , ptIndex: 100 , countAccess: 0
[101]: tagMask: ffffffffe000 , tag_offset: 12c00000 , ppn: 0 , valid: true , ptIndex: 101 , countAccess: 53836
[102]: tagMask: fffffffc0000 , tag_offset: 12c40000 , ppn: 0 , valid: true , ptIndex: 102 , countAccess: 46726
[103]: tagMask: ffffffe00000 , tag_offset: 12e00000 , ppn: 0 , valid: true , ptIndex: 103 , countAccess: 0
[104]: tagMask: ffffffffe000 , tag_offset: 13000000 , ppn: 0 , valid: true , ptIndex: 104 , countAccess: 54338
[105]: tagMask: ffffffffc000 , tag_offset: 13004000 , ppn: 0 , valid: true , ptIndex: 105 , countAccess: 0
[106]: tagMask: ffffffff0000 , tag_offset: 13010000 , ppn: 0 , valid: true , ptIndex: 106 , countAccess: 41622
[107]: tagMask: ffffffe00000 , tag_offset: 13200000 , ppn: 0 , valid: true , ptIndex: 107 , countAccess: 0
[108]: tagMask: ffffffffe000 , tag_offset: 13400000 , ppn: 0 , valid: true , ptIndex: 108 , countAccess: 53539
[109]: tagMask: fffffff80000 , tag_offset: 13480000 , ppn: 0 , valid: true , ptIndex: 109 , countAccess: 24830462
